Car_ID,Brand,Model,Year,Fuel_Type_Clean,Transmission_Clean,Engine_CC_Clean,Mileage_Clean,Seating_Capacity_Clean,Service_Cost_Clean,Age,Price_Clean,Battery_Charge_Level,Battery_Specific_Gravity
54,Kia,Carnival,2020,Diesel,Manual,1500,21.0,7,9100.0,5,1712000.0,,
55,Skoda,Kushaq,2023,CNG,Automatic,1500,22.9,5,18600.0,2,2850000.0,,
56,Toyota,Innova,2023,Diesel,Manual,1500,24.0,7,16500.0,2,2298000.0,,
57,Toyota,Innova,2018,Diesel,Manual,1500,24.7,7,8400.0,7,1461000.0,,
58,Mahindra,Thar,2015,Diesel,Automatic,1500,25.1,4,23800.0,10,1075000.0,,
59,Skoda,Slavia,2016,Diesel,Automatic,1800,11.6,5,23000.0,9,1772000.0,,
60,Toyota,Camry,2016,Diesel,Manual,1200,26.5,5,21400.0,9,636000.0,,
61,Hyundai,i10,2024,Petrol,Automatic,800,17.2,5,14500.0,1,514000.0,,
62,Tata Motors,Nexon,2020,Diesel,Manual,800,11.1,5,11100.0,5,337000.0,,
63,Mahindra,Scorpio,2016,CNG,Automatic,1500,29.5,7,5300.0,9,897000.0,,
64,Kia,Carnival,2022,Diesel,Manual,1500,12.8,7,13100.0,3,2024000.0,,
65,Tata Motors,Nexon,2018,Petrol,Manual,2500,13.0,5,17900.0,7,1840000.0,,
66,Kia,Sonet,2016,Diesel,Manual,1200,25.2,5,7100.0,9,305000.0,,
67,Skoda,Superb,2020,Diesel,Manual,2500,22.6,5,11700.0,5,2514000.0,,
68,Kia,Sonet,2020,Diesel,Automatic,1200,11.4,5,24700.0,5,503000.0,,
69,Hyundai,Venue,2021,CNG,Automatic,1800,24.1,5,24000.0,4,1784000.0,,
70,Skoda,Rapid,2015,Diesel,Automatic,2000,15.8,5,23500.0,10,1401000.0,,
71,Toyota,Glanza,2023,Diesel,Automatic,800,27.1,5,17700.0,2,504000.0,,
72,Hyundai,Creta,2020,CNG,Manual,1500,23.0,5,21900.0,5,1620000.0,,
73,Honda,WR-V,2021,CNG,Automatic,1800,25.7,5,9900.0,4,1718000.0,,
74,Mahindra,Thar,2022,Diesel,Manual,1500,26.2,4,15800.0,3,1849000.0,,
75,Toyota,Glanza,2016,Diesel,Manual,1000,10.2,5,6300.0,9,279000.0,,
76,Mahindra,XUV300,2022,Petrol,Automatic,1800,13.0,5,5300.0,3,2280000.0,,
77,Tata Motors,Punch,2019,Petrol,Manual,2000,17.3,5,6900.0,6,1588000.0,,
78,Hyundai,i20,2018,Diesel,Automatic,2500,15.5,5,19700.0,7,1793000.0,,
79,Honda,Civic,2024,Diesel,Automatic,2500,27.6,5,14700.0,1,2933000.0,,
80,Tata Motors,Altroz,2018,CNG,Manual,800,19.9,5,21600.0,7,232000.0,,
81,Skoda,Octavia,2020,Diesel,Automatic,2500,28.7,5,11700.0,5,2597000.0,,
82,Volkswagen,Taigun,2020,Diesel,Manual,1800,14.3,5,24200.0,5,2000000.0,,
83,Maruti Suzuki,Swift,2017,Petrol,Automatic,1000,12.0,5,14200.0,8,274000.0,,
84,Toyota,Urban Cruiser,2022,Diesel,Automatic,1800,15.3,5,10200.0,3,2379000.0,,
85,Skoda,Kushaq,2021,CNG,Automatic,1500,27.6,5,16700.0,4,2175000.0,,
86,Kia,Carnival,2022,Petrol,Automatic,2000,19.7,7,18300.0,3,2508000.0,,
87,Kia,EV6,2016,Electric,Automatic,0,11.9,5,22700.0,9,1409000.0,43.5,1.181
88,Renault,Lodgy,2016,CNG,Manual,1800,26.4,7,14600.0,9,916000.0,,
89,Toyota,Fortuner,2016,CNG,Manual,1500,29.3,7,22900.0,9,1056000.0,,
90,Hyundai,i20,2017,Petrol,Automatic,1800,10.5,5,8800.0,8,1549000.0,,
91,Volkswagen,Vento,2018,CNG,Manual,2000,13.6,5,18000.0,7,1563000.0,,
92,Hyundai,i20,2015,Diesel,Manual,1000,22.6,5,18900.0,10,237000.0,,
93,Volkswagen,Taigun,2021,CNG,Manual,1500,24.1,5,10400.0,4,1594000.0,,
94,Tata Motors,Nexon,2023,Electric,Automatic,0,20.8,5,9000.0,2,1956000.0,100.0,1.269
95,Toyota,Innova,2018,Diesel,Manual,1500,20.2,7,13000.0,7,1473000.0,,
96,Volkswagen,Polo,2018,CNG,Manual,1500,10.6,5,24200.0,7,780000.0,,
97,Honda,Civic,2017,CNG,Automatic,1000,18.2,5,23600.0,8,564000.0,,
98,Maruti Suzuki,Baleno,2020,Diesel,Manual,1200,26.0,5,13400.0,5,324000.0,,
99,Hyundai,Verna,2017,Diesel,Automatic,1000,16.6,5,10300.0,8,603000.0,,
100,Hyundai,Creta,2020,CNG,Automatic,1500,14.2,5,23100.0,5,1659000.0,,
101,Toyota,Innova,2020,Diesel,Manual,1800,29.9,7,9200.0,5,1725000.0,,
102,Maruti Suzuki,Ertiga,2015,Diesel,Automatic,1500,22.9,7,7600.0,10,654000.0,,
103,Skoda,Kushaq,2019,Petrol,Automatic,1500,20.7,5,23300.0,6,2016000.0,,
104,Tata Motors,Tiago,2019,Diesel,Automatic,2000,10.5,5,11400.0,6,1644000.0,,
105,Mahindra,Thar,2021,Petrol,Manual,2000,21.7,4,12400.0,4,1913000.0,,
106,Tata Motors,Altroz,2015,Petrol,Manual,1800,28.8,5,10500.0,10,1054000.0,,
107,Toyota,Urban Cruiser,2018,CNG,Automatic,1000,11.8,5,17300.0,7,1777000.0,,
108,Skoda,Kushaq,2018,CNG,Automatic,1500,16.0,5,21700.0,7,1873000.0,,
109,Tata Motors,Nexon,2020,Diesel,Automatic,1000,25.1,5,13600.0,5,348000.0,,
110,Kia,Carens,2022,Petrol,Manual,2500,23.5,7,5100.0,3,2711000.0,,
111,Honda,Amaze,2024,Electric,Manual,0,18.1,5,6700.0,1,2131000.0,,
112,Honda,Amaze,2018,Electric,Manual,0,17.8,5,19900.0,7,1385000.0,,
113,Maruti Suzuki,Baleno,2018,CNG,Manual,1500,24.4,5,10100.0,7,1079000.0,,
114,Maruti Suzuki,Ertiga,2020,Petrol,Automatic,1500,20.5,7,5100.0,5,1143000.0,,
115,Maruti Suzuki,Baleno,2023,Petrol,Manual,800,27.4,5,16700.0,2,353000.0,,
116,Maruti Suzuki,Baleno,2023,CNG,Manual,1000,25.6,5,13600.0,2,349000.0,,
117,Hyundai,Venue,2023,Petrol,Manual,1000,29.4,5,23700.0,2,461000.0,,
118,Honda,Amaze,2018,Electric,Manual,0,12.0,5,20300.0,7,1434000.0,,
119,Honda,Jazz,2019,CNG,Automatic,1000,11.1,5,12600.0,6,352000.0,,
120,Toyota,Innova,2017,Diesel,Automatic,1500,22.0,7,20900.0,8,1455000.0,,
121,Kia,Sonet,2018,Diesel,Automatic,1500,25.6,5,5900.0,7,830000.0,,
122,Honda,Jazz,2016,CNG,Automatic,2000,27.7,5,17400.0,9,1184000.0,,
123,Honda,WR-V,2023,CNG,Automatic,1800,13.0,5,10200.0,2,2400000.0,,
124,Toyota,Innova,2021,Diesel,Manual,1500,22.2,7,21500.0,4,1841000.0,,
125,Skoda,Slavia,2023,Petrol,Manual,1200,16.9,5,18400.0,2,2653000.0,,
126,Toyota,Urban Cruiser,2021,CNG,Automatic,2000,16.7,5,8300.0,4,2213000.0,,
127,Renault,Lodgy,2023,Petrol,Automatic,2000,28.7,7,23200.0,2,2113000.0,,
128,Honda,City,2017,Petrol,Manual,1000,26.0,5,8000.0,8,1170000.0,,
129,Skoda,Kushaq,2018,Diesel,Automatic,1800,22.0,5,22900.0,7,1973000.0,,
130,Renault,Kiger,2015,Petrol,Manual,1200,19.2,5,16500.0,10,245000.0,,
131,Kia,EV6,2023,Electric,Automatic,0,29.6,5,18400.0,2,2119000.0,100.0,1.267
132,Renault,Kwid,2019,CNG,Automatic,1200,12.2,5,9500.0,6,316000.0,,
133,Mahindra,Scorpio,2019,Diesel,Manual,2000,27.8,7,23200.0,6,1484000.0,,
134,Maruti Suzuki,Dzire,2024,CNG,Manual,1200,25.8,5,11500.0,1,813000.0,,
135,Skoda,Rapid,2023,Diesel,Automatic,2000,27.0,5,13600.0,2,3040000.0,,
136,Honda,Civic,2019,Petrol,Manual,1000,17.4,5,10200.0,6,801000.0,,
137,Tata Motors,Harrier,2021,Petrol,Automatic,2500,25.7,5,19800.0,4,2097000.0,,
138,Kia,Carnival,2024,Diesel,Manual,2000,23.9,7,20800.0,1,2653000.0,,
139,Mahindra,XUV700,2017,Diesel,Automatic,2500,17.5,7,24900.0,8,1741000.0,,
140,Hyundai,Verna,2021,Petrol,Manual,1000,20.8,5,5500.0,4,1549000.0,,
141,Skoda,Kushaq,2024,CNG,Automatic,1500,27.8,5,7500.0,1,2611000.0,,
142,Maruti Suzuki,Ertiga,2015,CNG,Automatic,1500,28.0,7,16700.0,10,624000.0,,
143,Honda,City,2018,Petrol,Automatic,1000,14.4,5,15300.0,7,1423000.0,,
144,Kia,Carens,2022,CNG,Automatic,2000,22.7,7,16900.0,3,2179000.0,,
145,Honda,City,2018,CNG,Manual,1000,17.7,5,12300.0,7,593000.0,,
146,Skoda,Superb,2024,Petrol,Manual,1000,17.7,5,6400.0,1,2927000.0,,
147,Honda,Civic,2022,Diesel,Automatic,1800,18.1,5,22900.0,3,2135000.0,,
148,Toyota,Glanza,2017,CNG,Manual,1800,27.7,5,21100.0,8,1264000.0,,
149,Renault,Duster,2023,Petrol,Manual,1200,17.9,5,6600.0,2,484000.0,,
150,Volkswagen,Vento,2018,CNG,Manual,2000,24.6,5,8000.0,7,1425000.0,,
151,Volkswagen,Polo,2023,CNG,Manual,2000,24.2,5,23300.0,2,2295000.0,,
152,Mahindra,XUV700,2024,Petrol,Automatic,1800,24.9,7,23500.0,1,2654000.0,,
153,Volkswagen,Polo,2016,Diesel,Automatic,1000,19.5,5,9400.0,9,318000.0,,
154,Honda,Civic,2022,CNG,Automatic,1000,29.9,5,11600.0,3,1886000.0,,
155,Renault,Lodgy,2023,Diesel,Automatic,2000,19.1,7,8200.0,2,2123000.0,,
156,Hyundai,i20,2023,Petrol,Manual,1200,23.4,5,16600.0,2,1881000.0,,
157,Skoda,Superb,2023,Petrol,Automatic,1000,10.6,5,9600.0,2,2925000.0,,
158,Volkswagen,Taigun,2016,Diesel,Manual,1500,10.9,5,22900.0,9,1425000.0,,
159,Kia,Sonet,2015,Petrol,Automatic,1200,23.3,5,13100.0,10,288000.0,,
160,Kia,Seltos,2019,CNG,Automatic,2500,18.8,5,10400.0,6,1882000.0,,
161,Mahindra,Bolero,2023,Petrol,Manual,1200,29.7,7,15800.0,2,480000.0,,
162,Kia,Seltos,2023,CNG,Manual,1500,26.7,5,9600.0,2,1846000.0,,
163,Skoda,Kushaq,2024,CNG,Automatic,1500,21.4,5,23800.0,1,3170000.0,,
164,Honda,Amaze,2023,Electric,Automatic,0,28.0,5,13000.0,2,1972000.0,,
165,Volkswagen,Vento,2019,CNG,Manual,1500,21.7,5,16300.0,6,815000.0,,
166,Mahindra,XUV700,2016,Petrol,Automatic,1800,10.9,7,12800.0,9,1404000.0,,
167,Renault,Kiger,2015,Petrol,Manual,800,16.9,5,12200.0,10,208000.0,,
168,Renault,Kwid,2024,Petrol,Manual,1200,18.4,5,17100.0,1,549000.0,,
169,Toyota,Glanza,2015,Diesel,Manual,2500,15.9,5,21400.0,10,1618000.0,,
170,Renault,Kiger,2017,CNG,Automatic,800,24.5,5,23000.0,8,1072000.0,,
171,Mahindra,XUV300,2021,Diesel,Automatic,1800,22.4,5,18100.0,4,1784000.0,,
172,Renault,Kwid,2018,CNG,Manual,1000,10.4,5,11600.0,7,241000.0,,
173,Mahindra,Scorpio,2015,CNG,Manual,1500,26.0,7,5500.0,10,985000.0,,
174,Mahindra,Scorpio,2016,CNG,Manual,1500,16.3,7,24600.0,9,1143000.0,,
175,Maruti Suzuki,Ertiga,2016,CNG,Automatic,1500,19.5,7,15300.0,9,686000.0,,
176,Hyundai,i10,2019,CNG,Manual,1500,12.1,5,11900.0,6,767000.0,,
177,Skoda,Superb,2015,CNG,Manual,1000,22.7,5,16100.0,10,569000.0,,
178,Volkswagen,Vento,2022,Petrol,Automatic,2500,11.1,5,16700.0,3,3417000.0,,
179,Mahindra,Bolero,2016,CNG,Manual,1000,10.4,7,24200.0,9,254000.0,,
180,Volkswagen,Vento,2022,Petrol,Manual,2500,24.3,5,24700.0,3,3148000.0,,
181,Toyota,Urban Cruiser,2019,Petrol,Manual,2500,16.3,5,24000.0,6,2402000.0,,
182,Maruti Suzuki,Baleno,2021,CNG,Automatic,1500,27.8,5,16900.0,4,1410000.0,,
183,Kia,Carens,2021,CNG,Automatic,1000,29.6,7,12800.0,4,1798000.0,,
184,Hyundai,Verna,2022,Petrol,Automatic,1000,28.2,5,18900.0,3,1920000.0,,
185,Toyota,Innova,2015,Diesel,Manual,1500,25.9,7,24600.0,10,1125000.0,,
186,Tata Motors,Tiago,2016,Petrol,Manual,1200,12.6,5,24600.0,9,1157000.0,,
187,Honda,Amaze,2020,Electric,Manual,0,22.0,5,22600.0,5,1603000.0,,
188,Kia,Seltos,2015,Petrol,Manual,1500,23.9,5,17000.0,10,1190000.0,,
189,Volkswagen,Polo,2017,CNG,Automatic,1800,14.0,5,9800.0,8,1453000.0,,
190,Kia,EV6,2019,Electric,Automatic,0,23.6,5,14100.0,6,1524000.0,56.7,1.199
191,Tata Motors,Tiago,2017,Petrol,Manual,1500,29.7,5,15500.0,8,627000.0,,
192,Renault,Triber,2021,Diesel,Automatic,1500,18.6,7,7300.0,4,854000.0,,
193,Mahindra,Bolero,2021,Petrol,Manual,1800,10.1,7,6700.0,4,1918000.0,,
194,Hyundai,Creta,2019,CNG,Automatic,1500,13.7,5,10200.0,6,1471000.0,,
195,Hyundai,Venue,2019,CNG,Manual,1000,29.2,5,12800.0,6,293000.0,,
196,Mahindra,Thar,2024,Diesel,Automatic,1500,20.1,4,9400.0,1,2211000.0,,
197,Toyota,Fortuner,2024,Petrol,Automatic,1800,15.7,7,23000.0,1,3124000.0,,
198,Honda,Amaze,2018,Electric,Automatic,0,22.2,5,8100.0,7,1393000.0,,
199,Honda,Civic,2015,CNG,Automatic,1000,18.7,5,16600.0,10,1100000.0,,
200,Renault,Lodgy,2019,Petrol,Manual,2500,24.7,7,21100.0,6,1210000.0,,
201,Toyota,Glanza,2017,CNG,Automatic,1800,12.0,5,17700.0,8,1594000.0,,
202,Volkswagen,Tiguan,2018,Petrol,Manual,800,28.1,5,24500.0,7,338000.0,,
203,Skoda,Kushaq,2016,CNG,Automatic,1500,18.1,5,9400.0,9,1536000.0,,
204,Skoda,Superb,2018,Petrol,Manual,1000,13.5,5,21000.0,7,1888000.0,,
205,Honda,Civic,2022,Diesel,Manual,1500,23.6,5,13700.0,3,970000.0,,
206,Toyota,Urban Cruiser,2016,Petrol,Automatic,2000,25.2,5,5000.0,9,1516000.0,,
207,Kia,EV6,2017,Electric,Manual,0,19.9,5,15200.0,8,1362000.0,32.9,1.166
208,Volkswagen,Vento,2020,CNG,Automatic,2000,25.6,5,16200.0,5,1802000.0,,
209,Hyundai,Venue,2022,CNG,Manual,1800,13.6,5,7800.0,3,1888000.0,,
210,Hyundai,i10,2019,CNG,Manual,2000,15.1,5,10900.0,6,1551000.0,,
211,Honda,WR-V,2018,Diesel,Manual,800,16.3,5,9900.0,7,299000.0,,
212,Kia,Carens,2023,CNG,Automatic,800,16.0,7,11200.0,2,477000.0,,
213,Mahindra,XUV300,2022,Diesel,Manual,1500,17.3,5,11000.0,3,1928000.0,,
214,Hyundai,i20,2024,CNG,Manual,1800,28.7,5,8500.0,1,2055000.0,,
215,Volkswagen,Polo,2016,CNG,Manual,1500,20.1,5,23400.0,9,1331000.0,,
216,Renault,Duster,2023,Petrol,Manual,1000,20.2,5,11400.0,2,446000.0,,
217,Renault,Triber,2021,Diesel,Manual,800,25.2,7,19700.0,4,322000.0,,
218,Renault,Triber,2022,CNG,Manual,2000,27.0,7,10300.0,3,1611000.0,,
219,Skoda,Octavia,2016,Petrol,Manual,1000,14.0,5,7300.0,9,1506000.0,,
220,Renault,Kwid,2019,Petrol,Manual,1200,18.3,5,12500.0,6,333000.0,,
221,Skoda,Rapid,2018,Diesel,Automatic,2000,19.6,5,11600.0,7,1875000.0,,
222,Kia,EV6,2020,Electric,Manual,0,21.6,5,11900.0,5,1631000.0,88.1,1.246
223,Tata Motors,Harrier,2019,Diesel,Automatic,1500,17.0,5,17900.0,6,1502000.0,,
224,Mahindra,Thar,2019,CNG,Automatic,1500,22.3,4,22600.0,6,1274000.0,,
225,Volkswagen,Virtus,2016,CNG,Automatic,2000,27.7,5,21900.0,9,1307000.0,,
226,Toyota,Glanza,2016,CNG,Automatic,1800,13.4,5,7000.0,9,1397000.0,,
227,Honda,City,2019,Diesel,Automatic,1000,28.2,5,10300.0,6,723000.0,,
228,Hyundai,i20,2022,Petrol,Automatic,2500,29.0,5,20300.0,3,2353000.0,,
229,Tata Motors,Nexon,2021,Diesel,Automatic,800,12.9,5,13800.0,4,363000.0,,
230,Hyundai,i10,2018,CNG,Manual,1500,12.3,5,15300.0,7,680000.0,,
231,Volkswagen,Taigun,2020,Diesel,Manual,1800,20.9,5,17200.0,5,1844000.0,,
232,Skoda,Rapid,2018,Diesel,Manual,1800,28.5,5,9900.0,7,1735000.0,,
233,Skoda,Kushaq,2016,Petrol,Automatic,1500,14.6,5,11600.0,9,1694000.0,,
234,Skoda,Slavia,2018,CNG,Manual,1000,11.3,5,5900.0,7,356000.0,,
235,Mahindra,XUV700,2020,CNG,Manual,1500,21.2,7,11300.0,5,1447000.0,,
236,Honda,Amaze,2021,Electric,Automatic,0,27.6,5,9300.0,4,1768000.0,,
237,Tata Motors,Punch,2019,CNG,Automatic,2000,10.2,5,11900.0,6,1330000.0,,
238,Toyota,Camry,2024,Petrol,Manual,1000,24.6,5,23300.0,1,1206000.0,,
239,Mahindra,XUV300,2023,Diesel,Manual,1500,11.4,5,8700.0,2,1997000.0,,
240,Kia,Sonet,2019,CNG,Manual,1800,13.5,5,13400.0,6,1624000.0,,
241,Toyota,Camry,2023,CNG,Manual,1800,24.5,5,15800.0,2,2130000.0,,
242,Maruti Suzuki,Dzire,2018,Petrol,Manual,1000,11.0,5,21300.0,7,1132000.0,,
243,Tata Motors,Harrier,2015,Petrol,Manual,2000,19.3,5,18500.0,10,1194000.0,,
244,Toyota,Innova,2022,Diesel,Automatic,2000,10.2,7,24000.0,3,2712000.0,,
245,Tata Motors,Harrier,2018,Petrol,Automatic,1500,19.8,5,7100.0,7,1291000.0,,
246,Hyundai,Creta,2022,Diesel,Automatic,1800,21.9,5,21600.0,3,1993000.0,,
247,Mahindra,XUV300,2021,Petrol,Manual,2000,28.6,5,17200.0,4,1960000.0,,
248,Honda,Jazz,2017,CNG,Automatic,1800,11.0,5,22300.0,8,1327000.0,,
249,Kia,Sonet,2022,Petrol,Automatic,1800,28.8,5,15600.0,3,2504000.0,,
250,Volkswagen,Polo,2024,Petrol,Automatic,2500,27.7,5,5900.0,1,3443000.0,,
251,Honda,City,2017,Diesel,Automatic,1200,11.1,5,21400.0,8,677000.0,,
252,Hyundai,Creta,2024,CNG,Manual,2000,14.2,5,19700.0,1,2416000.0,,
253,Hyundai,Creta,2023,Petrol,Automatic,1500,24.7,5,24300.0,2,2318000.0,,
254,Tata Motors,Punch,2015,CNG,Automatic,2000,11.8,5,8900.0,10,1031000.0,,
255,Maruti Suzuki,Ertiga,2023,CNG,Manual,1500,15.5,7,6000.0,2,1524000.0,,
256,Renault,Kwid,2019,Diesel,Automatic,1500,10.4,5,9600.0,6,1305000.0,,
257,Renault,Kiger,2020,CNG,Automatic,800,14.3,5,11700.0,5,1473000.0,,
258,Hyundai,i20,2021,Petrol,Manual,1200,17.4,5,6600.0,4,1670000.0,,
259,Mahindra,XUV300,2019,CNG,Manual,1500,19.8,5,19200.0,6,1324000.0,,
260,Honda,WR-V,2022,Diesel,Automatic,2000,12.0,5,6800.0,3,2335000.0,,
261,Skoda,Rapid,2019,CNG,Automatic,1800,14.3,5,22700.0,6,1895000.0,,
262,Maruti Suzuki,WagonR,2023,Petrol,Manual,1000,17.3,5,24400.0,2,418000.0,,
263,Kia,Sonet,2023,Petrol,Automatic,800,23.4,5,7800.0,2,459000.0,,
264,Toyota,Glanza,2022,CNG,Manual,2500,24.1,5,6400.0,3,2260000.0,,
265,Volkswagen,Polo,2022,Diesel,Manual,2000,13.8,5,24100.0,3,2606000.0,,
266,Honda,Amaze,2021,Electric,Manual,0,22.3,5,11200.0,4,1610000.0,,
267,Honda,Civic,2023,Petrol,Manual,1000,14.6,5,17100.0,2,1087000.0,,
268,Kia,Sonet,2016,Petrol,Manual,1200,15.9,5,10400.0,9,324000.0,,
269,Volkswagen,Virtus,2018,Diesel,Automatic,1000,26.9,5,12900.0,7,367000.0,,
270,Renault,Kwid,2016,Diesel,Automatic,1500,25.4,5,8500.0,9,977000.0,,
271,Maruti Suzuki,WagonR,2022,CNG,Manual,2500,24.7,5,22200.0,3,1515000.0,,
272,Honda,WR-V,2023,Petrol,Automatic,2000,25.1,5,15800.0,2,2482000.0,,
273,Mahindra,Scorpio,2017,Diesel,Manual,2500,12.3,7,21000.0,8,1638000.0,,
274,Tata Motors,Tiago,2018,CNG,Automatic,1200,23.9,5,5800.0,7,272000.0,,
275,Mahindra,Scorpio,2019,Petrol,Manual,1800,15.9,7,16600.0,6,1556000.0,,
276,Maruti Suzuki,Swift,2022,CNG,Automatic,800,21.2,5,15000.0,3,317000.0,,
277,Hyundai,Creta,2020,CNG,Automatic,1500,15.9,5,18100.0,5,1682000.0,,
278,Toyota,Camry,2020,Petrol,Manual,1000,11.7,5,15800.0,5,940000.0,,
279,Maruti Suzuki,Baleno,2022,Diesel,Manual,800,24.8,5,22500.0,3,333000.0,,
280,Renault,Duster,2018,Petrol,Manual,800,11.8,5,6500.0,7,1200000.0,,
281,Maruti Suzuki,Swift,2023,Diesel,Manual,1000,25.5,5,7700.0,2,361000.0,,
282,Kia,Carnival,2023,CNG,Automatic,1500,26.1,7,23700.0,2,2121000.0,,
283,Mahindra,XUV700,2022,Diesel,Automatic,2500,17.7,7,11300.0,3,2567000.0,,
284,Renault,Kiger,2020,CNG,Automatic,2000,24.2,5,10400.0,5,1328000.0,,
285,Toyota,Glanza,2016,CNG,Manual,1800,17.7,5,17300.0,9,1373000.0,,
